Time	EMG	Muscle Force
0	0	0.276933
0.001	0	0.276933
0.002	0	0.276933
0.003	0	0.276933
0.004	0	0.276933
0.005	0	0.276933
0.006	0	0.276556
0.007	0	0.276556
0.008	0	0.276556
0.009	0	0.276556
0.01	0	0.276556
0.011	0	0.276556
0.012	0	0.276556
0.013	0	0.276556
0.014	0	0.276556
0.015	0	0.276556
0.016	0	0.276556
0.017	0	0.276556
0.018	0	0.276556
0.019	0	0.276556
0.02	0	0.276556
0.021	0	0.276556
0.022	0	0.276556
0.023	0	0.276556
0.024	0	0.276556
0.025	0	0.276556
0.026	0	0.276556
0.027	0	0.276556
0.028	0	0.276556
0.029	0	0.276556
0.03	0	0.276556
0.031	0	0.276556
0.032	0	0.276556
0.033	0	0.276556
0.034	0	0.276556
0.035	0	0.276556
0.036	0	0.276556
0.037	0	0.276556
0.038	0	0.276556
0.039	0	0.276556
0.04	0	0.276556
0.041	0	0.276556
0.042	0	0.276556
0.043	0	0.276556
0.044	0	0.276556
0.045	0	0.276556
0.046	0	0.276556
0.047	0	0.276933
0.048	0	0.276556
0.049	0	0.276556
0.05	0	0.276556
0.051	0.064669	0.276556
0.052	-0.825691	0.276556
0.053	-1.88372	0.276556
0.054	-2.80056	0.276556
0.055	-3.28892	0.276933
0.056	10.8431	0.276556
0.057	12.3132	0.276556
0.058	-18.2695	0.276556
0.059	-0.259793	0.276933
0.06	0.659053	0.276933
0.061	1.11515	0.276933
0.062	1.05304	0.276933
0.063	0.598366	0.276933
0.064	0.00589336	0.276556
0.065	-0.437914	0.276933
0.066	-0.513261	0.276933
0.067	-0.167604	0.276933
0.068	0.465031	0.276933
0.069	1.14398	0.276933
0.07	1.58328	0.276933
0.071	1.56891	0.276933
0.072	1.03948	0.276933
0.073	-18.8026	0.276933
0.074	4.331	0.276933
0.075	16.9426	0.276933
0.076	-2.46095	0.276933
0.077	-2.51099	0.276933
0.078	-2.09891	0.276933
0.079	-1.38781	0.276933
0.08	-0.597994	0.276933
0.081	0.069499	0.276933
0.082	0.474556	0.276933
0.083	0.599619	0.276933
0.084	0.538285	0.276933
0.085	0.371483	0.276933
0.086	0.193618	0.276933
0.087	0.0535265	0.276933
0.088	-0.0536303	0.276933
0.089	-0.164863	0.276933
0.09	-1.16156	0.276933
0.091	-3.79123	0.276933
0.092	6.05526	0.276933
0.093	-0.729111	0.276933
0.094	-0.652921	0.276933
0.095	-0.419607	0.276933
0.096	-0.0912745	0.276933
0.097	0.215105	0.276933
0.098	0.370974	0.276933
0.099	0.30641	0.276933
0.1	-0.0107296	0.276933
0.101	-0.497764	0.276933
0.102	-0.965739	0.276933
0.103	-1.2295	0.276933
0.104	-1.14815	0.276933
0.105	-0.680991	0.276933
0.106	11.4824	0.276933
0.107	2.30125	0.276933
0.108	-15.7132	0.276933
0.109	2.05772	0.276933
0.11	1.96522	0.276933
0.111	1.45656	0.276933
0.112	0.721268	0.276933
0.113	0.0257534	0.276933
0.114	-0.384993	0.276933
0.115	-0.38323	0.276933
0.116	-0.0061664	0.276933
0.117	0.531092	0.276933
0.118	0.904037	0.276933
