Time	EMG	Muscle Force
0	0	0.277683
0.001	0	0.277683
0.002	0	0.277683
0.003	0	0.277683
0.004	0	0.277683
0.005	0	0.277683
0.006	0	0.277683
0.007	0	0.277683
0.008	0	0.277308
0.009	0	0.277683
0.01	0	0.277308
0.011	0	0.277683
0.012	0	0.277308
0.013	0	0.277308
0.014	0	0.277683
0.015	0	0.277308
0.016	0	0.277683
0.017	0	0.277683
0.018	0	0.277308
0.019	0	0.277683
0.02	0	0.277683
0.021	0	0.277683
0.022	0	0.277308
0.023	0	0.277683
0.024	0	0.277683
0.025	0	0.277308
0.026	0	0.277683
0.027	0	0.277683
0.028	0	0.277683
0.029	0	0.277683
0.03	0	0.277683
0.031	0	0.277683
0.032	0	0.277683
0.033	0	0.277683
0.034	0	0.277683
0.035	0	0.277683
0.036	0	0.277683
0.037	0	0.277308
0.038	0	0.277683
0.039	0	0.277683
0.04	0	0.277683
0.041	0	0.277308
0.042	0	0.277308
0.043	0	0.277683
0.044	0	0.277308
0.045	0	0.277308
0.046	0	0.277683
0.047	0	0.277683
0.048	0	0.277683
0.049	0	0.277683
0.05	0	0.277683
0.051	0.0420677	0.277683
0.052	-0.692773	0.277683
0.053	-0.995169	0.277683
0.054	-0.912651	0.277683
0.055	-0.607471	0.277683
0.056	-0.262037	0.277683
0.057	-0.021769	0.277683
0.058	0.107524	0.277683
0.059	0.182291	0.277683
0.06	0.297792	0.277683
0.061	1.45596	0.277683
0.062	-2.61648	0.277683
0.063	12.7049	0.277683
0.064	-20.7832	0.277683
0.065	8.27496	0.277683
0.066	1.69556	0.277683
0.067	1.12243	0.277683
0.068	0.268927	0.277683
0.069	-0.64864	0.277683
0.07	-1.37453	0.277683
0.071	-1.58996	0.277683
0.072	-1.09748	0.277683
0.073	0.0960833	0.277683
0.074	1.75481	0.277683
0.075	3.50991	0.277683
0.076	4.89399	0.277683
0.077	5.49912	0.277683
0.078	-18.8841	0.277683
0.079	-5.71228	0.277683
0.08	-0.921965	0.277683
0.081	18.4876	0.277683
0.082	0.0117847	0.277683
0.083	-2.09863	0.277683
0.084	-2.00271	0.277683
0.085	-1.35944	0.277683
0.086	-0.582062	0.277683
0.087	-0.0763492	0.277683
0.088	-0.0630857	0.277683
0.089	-0.5234	0.277683
0.09	-1.13573	0.277683
0.091	-1.5457	0.277683
0.092	-1.41526	0.277683
0.093	-0.624192	0.277683
0.094	25.4612	0.277683
0.095	-6.09935	0.277683
0.096	-20.3173	0.277683
0.097	-10.3135	0.277683
0.098	14.8707	0.277683
0.099	2.73864	0.277683
0.1	1.5391	0.277683
0.101	0.365276	0.277683
0.102	-0.498455	0.277683
0.103	-0.927795	0.277683
0.104	-0.937216	0.277683
0.105	-0.700556	0.277683
0.106	-0.406584	0.277683
0.107	-0.207571	0.277683
0.108	-0.109587	0.277683
0.109	-0.0483968	0.277683
0.11	0.0833024	0.277683
0.111	3.06873	0.277683
0.112	-2.46822	0.277683
0.113	12.0442	0.277683
0.114	-21.322	0.277683
0.115	7.93359	0.277683
0.116	1.9435	0.277683
0.117	1.34927	0.277683
0.118	0.436385	0.277683
0.119	-0.558571	0.277683
0.12	-1.32893	0.277683
0.121	-1.5746	0.277683
0.122	-1.10062	0.277683
0.123	0.0671648	0.277683
0.124	1.67328	0.277683
0.125	3.34623	0.277683
0.126	4.64662	0.277683
0.127	5.22115	0.277683
0.128	-17.9961	0.277683
0.129	-6.45708	0.277683
0.13	-0.925912	0.277683
0.131	19.1445	0.277683
0.132	0.731829	0.277683
0.133	-1.5318	0.277683
0.134	-1.95716	0.277683
0.135	-2.06177	0.277683
0.136	-1.99266	0.277683
0.137	-1.80344	0.277683
0.138	-1.3855	0.277683
0.139	-0.549601	0.277683
0.14	0.942078	0.277683
0.141	3.09063	0.277683
0.142	5.68774	0.277683
0.143	8.267	0.277683
0.144	-12.9754	0.277683
0.145	3.74904	0.277683
0.146	-14.0518	0.277683
0.147	-5.67808	0.277683
0.148	16.9998	0.277683
0.149	2.76612	0.277683
0.15	0.271613	0.277683
0.151	-1.30627	0.277683
0.152	-1.85795	0.277683
0.153	-1.59533	0.277683
0.154	-0.895683	0.277683
0.155	-0.197806	0.277683
0.156	0.203511	0.277683
0.157	0.208861	0.277683
0.158	-0.0339636	0.277683
0.159	-0.288197	0.277683
0.16	-0.3251	0.277683
0.161	4.71098	0.277683
0.162	-2.78614	0.277683
0.163	10.9088	0.277683
0.164	-21.759	0.277683
0.165	7.92724	0.277683
0.166	2.25031	0.277683
0.167	1.6197	0.277683
0.168	0.633602	0.277683
0.169	-0.44826	0.277683
0.17	-1.27973	0.277683
0.171	-1.59114	0.277683
0.172	-1.21874	0.277683
0.173	-0.150661	0.277683
0.174	1.37848	0.277683
0.175	3.02922	0.277683
0.176	4.39129	0.277683
0.177	6.02977	0.277683
